		Economic					Environment					Goal				Social				
		green growth	indigenous production	research & innovations	savings in operational costs & enhanced profits	circular practices	facilities design	sustainable procurement	waste reduction & management	Economic	Environment	Social	Affordability	employee satisfaction	patient satisfaction	sustainable health
Economic	green growth	0.250000	0.250000	0.250000	0.250000	0.000000	0.000000	0.000000	0.000000	0.230940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	indigenous production	0.250000	0.250000	0.250000	0.250000	0.000000	0.000000	0.000000	0.000000	0.028868	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	research & innovations	0.250000	0.250000	0.250000	0.250000	0.000000	0.000000	0.000000	0.000000	0.051320	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
	savings in operational costs & enhanced profits	0.250000	0.250000	0.250000	0.250000	0.000000	0.000000	0.000000	0.000000	0.051320	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Environment	circular practices	0.000000	0.000000	0.000000	0.000000	0.250000	0.250000	0.250000	0.607626	0.000000	0.201453	0.000000	0.000000	0.000000	0.000000	0.000000
	facilities design	0.000000	0.000000	0.000000	0.000000	0.250000	0.250000	0.250000	0.253733	0.000000	0.201453	0.000000	0.000000	0.000000	0.000000	0.000000
	sustainable procurement	0.000000	0.000000	0.000000	0.000000	0.250000	0.250000	0.250000	0.039313	0.000000	0.201453	0.000000	0.000000	0.000000	0.000000	0.000000
	waste reduction & management	0.000000	0.000000	0.000000	0.000000	0.250000	0.250000	0.250000	0.099327	0.000000	0.201453	0.000000	0.000000	0.000000	0.000000	0.000000
Goal	Economic	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.064730	0.042544	0.000000	0.000000	0.000000	0.000000
	Environment	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.318776	0.064730	0.390411	0.000000	0.000000	0.000000	0.000000
	Social	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.318776	0.064730	0.067044	0.000000	0.000000	0.000000	0.000000
Social	Affordability	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.125000	0.250000	0.250000	0.250000	0.250000
	employee satisfaction	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.125000	0.250000	0.250000	0.250000	0.250000
	patient satisfaction	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.125000	0.250000	0.250000	0.250000	0.250000
	sustainable health	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.125000	0.250000	0.250000	0.250000	0.250000

